fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
164     0.044749875     0.030898714     272.131     148.228    290.053     35.710    0.010000
165     0.023516847     0.025079146     338.472     31.082    276.484     148.842    0.010000
166     0.035063040     0.027904563     342.044     30.377    272.630     149.720    0.000000
167     0.035127800     0.036771867     342.628     31.726    279.562     148.576    0.020000
168     0.026821308     0.031049741     340.589     30.584    280.562     149.818    0.010000
169     0.036298629     0.038495187     343.857     31.125    276.858     149.767    0.010000
170     0.037914712     0.040296093     340.613     30.297    265.618     147.713    0.010000
171     0.028383771     0.044477206     282.728     149.532    328.588     30.187    0.000000
172     0.044989031     0.044609386     337.990     30.428    267.912     149.356    0.020000
173     0.039363593     0.043341495     339.562     32.777    280.312     149.420    0.000000
174     0.037729494     0.023388896     343.591     32.251    281.740     149.322    0.010000
175     0.044408169     0.029670637     342.236     33.522    277.852     148.919    0.020000
176     0.034491923     0.025601650     342.992     32.228    278.533     148.380    0.000000
177     0.027295973     0.033611260     343.417     34.381    272.365     147.763    0.010000
178     0.030716142     0.026060216     342.636     32.819    272.301     149.684    0.010000
179     0.035703834     0.023956597     343.346     34.334    273.230     148.577    0.020000
180     0.030882129     0.021681668     339.739     33.913    275.830     149.129    0.010000
181     0.034064800     0.026227919     339.422     32.034    279.668     149.930    0.000000
182     0.044085640     0.029611776     338.503     30.934    277.489     149.577    0.010000
183     0.052432388     0.037950315     343.089     32.594    273.974     147.959    0.010000
184     0.025792731     0.030854417     334.498     32.971    276.982     149.320    0.010000
185     0.027774582     0.033659883     337.655     34.219    277.816     149.858    0.010000
186     0.044627719     0.028126949     335.815     32.210    271.172     149.361    0.010000
187     0.040071186     0.033137832     339.328     32.947    273.407     149.111    0.010000
188     0.034386769     0.034671113     343.632     34.394    271.618     148.468    0.010000
189     0.029278811     0.026586531     335.616     32.634    276.453     148.803    0.010000
190     0.039794341     0.026341300     337.969     34.842    276.305     147.906    0.000000
191     0.026892073     0.021847073     337.149     33.244    278.421     148.959    0.020000
192     0.032832604     0.023982316     341.106     34.652    274.382     148.971    0.010000
193     0.035030585     0.027462695     335.615     33.499    270.244     148.273    0.010000
194     0.023898832     0.027192352     332.770     32.588    272.142     149.474    0.010000
195     0.036051098     0.031900000     342.623     35.807    270.553     147.189    0.010000
196     0.028533153     0.025304507     333.779     34.852    272.512     147.072    0.010000
197     0.026982309     0.024797533     338.515     36.273    269.511     148.273    0.000000
198     0.036856547     0.024943171     340.116     35.591    268.050     148.036    0.020000
199     0.022886468     0.025724892     333.394     31.731    270.894     149.333    0.010000
200     0.035468798     0.032567456     340.644     35.398    272.745     147.204    0.000000
201     0.027930403     0.030190950     338.152     34.347    269.050     148.735    0.010000
202     0.038171116     0.029477417     338.246     34.680    275.607     148.722    0.010000
203     0.037618868     0.024669291     338.072     35.505    277.327     149.375    0.020000
204     0.044564724     0.026125578     328.707     31.972    270.839     147.135    0.010000
205     0.022982806     0.027547736     331.777     34.111    273.382     149.970    0.000000
206     0.046626221     0.029165754     330.259     34.066    273.192     149.696    0.010000
207     0.030626489     0.020347621     332.724     32.932    274.084     148.594    0.010000
208     0.025375798     0.024041099     338.595     36.323    275.167     149.246    0.020000
209     0.043992024     0.031365722     333.279     33.436    272.401     149.917    0.000000
210     0.042143311     0.022415295     329.999     34.030    270.336     149.503    0.010000
211     0.039103542     0.023218244     331.979     33.128    268.224     147.597    0.010000
212     0.027381731     0.026506659     337.306     35.687    268.286     147.505    0.010000
213     0.025898596     0.025518261     333.671     33.660    261.965     147.367    0.010000
214     0.023858182     0.022077052     328.049     31.802    266.773     148.753    0.010000
215     0.026977647     0.029762790     330.508     33.152    271.020     149.028    0.010000
