fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
170     0.001902939     0.001678489     311.205     32.463    279.664     148.439    0.140000
171     0.002045184     0.001808554     312.502     32.484    280.555     149.061    0.130000
172     0.002358424     0.001866883     310.085     32.025    282.180     149.102    0.140000
173     0.002155126     0.001905312     313.281     32.541    283.803     149.682    0.130000
174     0.002290949     0.001772565     312.905     32.323    278.256     148.507    0.140000
175     0.001834046     0.001701719     313.038     31.955    279.513     148.626    0.140000
176     0.001889937     0.001893565     313.388     32.091    280.815     149.051    0.130000
177     0.002222847     0.001878578     316.721     32.461    282.616     149.483    0.140000
178     0.002270599     0.001824967     312.338     31.477    280.721     149.161    0.130000
179     0.002189420     0.002032625     315.982     32.317    278.691     149.055    0.140000
180     0.002242450     0.001815805     314.136     31.881    280.507     149.455    0.130000
181     0.002391550     0.001914535     311.612     31.246    280.180     149.279    0.140000
182     0.002249673     0.002036762     312.277     31.201    282.431     149.649    0.130000
183     0.002458410     0.002198327     310.374     31.029    281.090     149.181    0.140000
184     0.002069408     0.002093133     311.865     31.190    273.831     147.318    0.140000
185     0.001518634     0.002167750     313.400     31.317    280.951     149.321    0.130000
186     0.002383205     0.002036297     311.546     31.003    279.790     148.687    0.140000
187     0.001926712     0.002186715     312.048     31.301    280.265     148.986    0.130000
188     0.002188835     0.002051235     307.523     30.044    280.670     148.890    0.140000
189     0.002112053     0.002765829     308.990     30.247    277.624     148.293    0.140000
190     0.002029800     0.002325992     307.681     30.015    275.005     146.748    0.130000
191     0.001536594     0.002578072     311.002     30.507    279.292     148.662    0.140000
192     0.002076941     0.002503740     306.433     30.080    283.142     148.905    0.130000
193     0.002080479     0.002762806     307.847     30.164    280.887     148.284    0.140000
194     0.001827018     0.002607477     306.764     30.053    283.656     149.088    0.140000
195     0.002293626     0.002843631     308.681     30.391    282.258     148.867    0.130000
196     0.001980619     0.002580965     307.270     30.375    281.527     148.689    0.130000
197     0.001889871     0.002435510     308.008     30.354    281.600     148.669    0.140000
198     0.001996950     0.002352660     309.563     30.698    280.586     148.659    0.130000
199     0.002001177     0.002311030     310.832     30.725    278.256     147.994    0.140000
200     0.001825654     0.002415783     310.600     30.993    278.135     148.180    0.140000
201     0.001818313     0.002161773     309.821     30.699    277.917     147.701    0.130000
202     0.001644204     0.002324214     309.853     30.676    277.409     147.508    0.140000
203     0.001612047     0.002306517     308.708     30.621    272.364     145.921    0.140000
204     0.001510690     0.002504320     310.239     30.939    278.858     147.828    0.140000
205     0.001851963     0.002348968     310.841     30.995    280.259     147.943    0.130000
206     0.001676049     0.002331770     311.258     31.190    283.813     147.600    0.130000
207     0.001735525     0.002045285     280.525     147.894    312.604     31.319    0.140000
208     0.001882994     0.002109664     313.019     31.484    279.155     147.600    0.140000
209     0.001646768     0.001980247     312.939     30.075    276.601     147.150    0.130000
210     0.001591512     0.002700357     312.190     30.958    281.527     146.778    0.140000
211     0.001521423     0.002284225     312.803     30.433    278.025     147.525    0.130000
212     0.001701514     0.002457655     311.693     30.024    282.843     147.244    0.140000
213     0.001595748     0.002718627     282.234     147.048    313.373     30.128    0.130000
214     0.001589455     0.002566121     284.306     147.501    313.125     30.262    0.140000
215     0.001635311     0.002531056     277.307     147.305    314.501     30.076    0.140000
216     0.001604882     0.002641563     278.734     147.746    314.306     30.086    0.140000
217     0.001839651     0.002750763     315.340     30.016    284.128     147.534    0.130000
218     0.001736534     0.002698499     283.603     147.671    314.443     30.014    0.140000
219     0.001859205     0.002819788     316.487     30.210    282.669     147.315    0.130000
220     0.001627316     0.002694938     317.725     30.002    283.225     147.473    0.130000
221     0.001714756     0.002583206     318.671     30.055    273.815     146.549    0.150000
222     0.001556643     0.002653628     283.051     147.508    320.251     30.133    0.130000
223     0.001679578     0.002692492     319.173     30.031    283.560     147.816    0.130000
224     0.001700800     0.002853340     320.657     30.173    279.999     146.957    0.140000
225     0.001521997     0.002761282     281.662     147.475    321.218     30.284    0.140000
226     0.001747783     0.002608206     321.514     30.106    282.708     147.774    0.130000
