fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
134     0.008055225     0.006675507     307.859     32.245    270.467     149.925    0.010000
135     0.010691077     0.008199923     311.509     33.060    267.997     149.744    0.020000
136     0.011686153     0.006680445     310.574     32.968    271.342     148.771    0.030000
137     0.007422857     0.006745768     311.877     33.005    270.015     149.904    0.020000
138     0.009298161     0.006942136     308.027     32.274    270.593     149.582    0.010000
139     0.009729041     0.006873948     307.590     30.817    269.939     149.471    0.020000
140     0.010011300     0.009351892     315.734     34.081    269.894     149.593    0.020000
141     0.009024845     0.007242058     311.754     33.206    276.447     149.365    0.030000
142     0.009265138     0.006878194     311.394     33.031    271.284     148.722    0.010000
143     0.007475790     0.006879056     313.538     33.258    271.852     149.741    0.020000
144     0.009824156     0.007260252     309.015     32.423    272.128     149.755    0.020000
145     0.009801942     0.007655546     314.232     33.832    269.275     148.738    0.020000
146     0.008912361     0.007421121     312.819     32.997    272.071     149.535    0.020000
147     0.009360167     0.007107803     310.257     33.027    270.212     148.779    0.020000
148     0.007562403     0.006242391     310.511     32.906    275.981     149.973    0.020000
149     0.010368410     0.006958173     308.785     31.239    275.352     149.628    0.020000
150     0.009683993     0.008935755     304.560     30.517    274.628     149.093    0.020000
151     0.008387382     0.009489427     310.190     33.186    276.016     149.593    0.010000
152     0.009333981     0.007807661     311.539     33.696    277.711     149.923    0.020000
153     0.010782398     0.006450537     309.077     32.941    278.295     149.788    0.030000
154     0.009768926     0.006985625     308.681     33.169    276.658     149.280    0.010000
155     0.009339591     0.006312479     311.164     33.400    280.474     149.685    0.010000
156     0.009748108     0.006582769     308.870     33.078    281.505     149.957    0.030000
157     0.011250462     0.006430564     310.684     33.454    278.490     149.830    0.020000
158     0.010053928     0.007232221     313.647     33.793    278.421     148.898    0.020000
159     0.008735136     0.006325117     313.322     33.928    277.488     148.839    0.020000
160     0.008237802     0.006115214     315.859     34.433    277.619     147.491    0.020000
161     0.006731568     0.006324479     308.943     32.667    280.875     149.932    0.010000
162     0.009800117     0.006458403     317.885     34.557    278.979     149.255    0.030000
163     0.010194548     0.006565763     315.046     34.122    279.932     148.365    0.020000
164     0.008218762     0.006061407     314.443     33.687    282.506     149.984    0.010000
165     0.012464021     0.006523468     309.212     32.498    275.598     147.018    0.020000
166     0.005665790     0.007856065     309.892     32.733    277.463     147.993    0.020000
167     0.008080968     0.007728201     316.657     33.900    282.427     149.441    0.020000
168     0.009577435     0.005691036     310.019     32.396    281.852     147.941    0.020000
169     0.006956569     0.007297636     308.321     32.120    281.770     148.438    0.010000
170     0.008416514     0.007706129     306.204     30.042    285.408     149.795    0.030000
171     0.010514219     0.009986607     314.814     33.034    281.982     149.643    0.020000
172     0.010137660     0.007360355     307.356     31.422    277.188     147.630    0.010000
173     0.007014560     0.007995100     310.519     31.853    274.182     146.549    0.020000
174     0.006012010     0.007463571     314.914     32.528    282.773     149.877    0.020000
175     0.010132740     0.007002811     315.844     32.719    283.425     149.555    0.020000
176     0.009358698     0.006380292     318.369     33.185    278.208     148.228    0.020000
177     0.006883378     0.007058800     312.582     31.545    278.374     148.656    0.020000
178     0.007340076     0.007780416     313.960     31.961    283.148     149.963    0.020000
179     0.013576286     0.007375537     280.753     149.496    312.605     31.232    0.020000
180     0.009717304     0.007869679     309.656     30.815    280.599     148.964    0.020000
181     0.008978040     0.009556135     317.394     32.300    279.780     149.274    0.020000
182     0.010122043     0.007589279     306.807     30.229    280.309     149.408    0.010000
183     0.009683488     0.011366427     313.163     31.525    279.982     149.196    0.020000
184     0.008569502     0.008357094     308.983     30.296    279.238     149.138    0.030000
185     0.008340042     0.010551109     314.870     31.624    281.963     149.728    0.010000
186     0.009693171     0.008168518     279.553     148.745    306.980     30.552    0.020000
187     0.008140172     0.010440887     311.420     31.045    280.110     148.978    0.020000
188     0.007217323     0.009142444     313.180     31.509    279.284     148.957    0.020000
189     0.008537384     0.008538235     313.139     30.869    279.995     148.725    0.020000
190     0.007889571     0.009641049     310.257     30.598    276.659     148.179    0.010000
191     0.007675375     0.008002670     312.737     30.678    283.352     149.286    0.030000
192     0.009009123     0.009882204     311.352     30.605    282.943     148.825    0.020000
193     0.007598091     0.008814882     306.981     30.024    282.227     148.913    0.020000
194     0.008137801     0.009869065     307.783     30.313    274.947     146.456    0.010000
195     0.006215170     0.010100121     310.025     30.552    281.280     148.678    0.020000
196     0.008148699     0.010681997     309.152     30.677    276.813     147.774    0.020000
197     0.006986032     0.009356266     311.471     31.187    279.738     147.851    0.020000
198     0.006776161     0.008194328     308.901     30.668    277.161     147.751    0.020000
199     0.006894026     0.009450931     310.951     31.101    281.646     148.840    0.020000
200     0.008667431     0.008454593     313.620     30.083    273.068     146.268    0.020000
201     0.005634840     0.011427358     312.068     31.358    277.461     147.515    0.010000
202     0.007710886     0.008239384     309.515     30.971    273.341     146.862    0.020000
203     0.006630051     0.008879410     310.510     30.711    271.027     145.609    0.030000
204     0.005633909     0.008574916     310.708     31.115    277.424     147.223    0.010000
205     0.006842256     0.008359505     279.025     147.733    310.214     31.182    0.020000
206     0.007703638     0.008279395     276.111     147.168    315.257     32.067    0.020000
207     0.006501107     0.008090410     278.691     147.414    312.417     31.521    0.020000
208     0.007429703     0.008293343     313.242     31.339    272.336     146.110    0.020000
209     0.005791633     0.008300903     314.010     31.233    283.047     148.879    0.020000
210     0.009970592     0.009490453     270.051     144.621    316.554     32.079    0.020000
211     0.005264290     0.008437549     315.550     31.508    284.883     147.728    0.010000
212     0.007169846     0.008137129     283.365     147.393    314.452     30.662    0.030000
213     0.007128165     0.009654501     276.503     146.912    313.572     30.019    0.020000
214     0.005795334     0.010369437     310.782     30.153    280.749     147.982    0.010000
215     0.007174727     0.010703347     278.108     147.547    313.637     30.146    0.030000
216     0.006938239     0.011092489     271.557     145.704    319.304     32.103    0.010000
217     0.005674351     0.007572732     283.794     147.580    317.563     30.567    0.020000
218     0.007338245     0.009222544     318.850     30.440    273.232     146.757    0.020000
219     0.005723168     0.009045063     316.762     30.024    277.530     147.446    0.020000
220     0.007160864     0.009910723     319.659     30.454    275.275     147.020    0.020000
221     0.006552157     0.010393275     320.093     30.490    273.547     146.516    0.010000
222     0.005935600     0.009730137     282.990     147.609    327.942     32.434    0.020000
223     0.007001012     0.007483246     329.139     31.803    275.906     147.115    0.030000
224     0.005704039     0.007699862     280.959     147.101    324.900     30.745    0.010000
225     0.006699689     0.009470853     320.419     30.120    267.564     144.414    0.020000
226     0.005648584     0.011803757     321.294     30.594    283.229     147.999    0.020000
227     0.009037568     0.009339959     322.109     30.003    281.276     147.351    0.020000
228     0.006543952     0.011805565     283.144     147.889    322.766     30.499    0.020000
229     0.008391884     0.008683075     283.092     147.773    325.276     31.657    0.020000
230     0.006796614     0.007993593     280.916     147.116    323.078     31.095    0.020000
231     0.006029802     0.008631065     324.943     31.303    270.335     145.204    0.010000
232     0.005713043     0.007943497     281.057     147.456    324.194     30.444    0.020000
233     0.007666689     0.010155864     270.137     145.185    324.117     31.204    0.020000
234     0.005522874     0.007648147     273.222     146.187    323.740     30.739    0.030000
235     0.007062115     0.009917986     271.126     145.577    323.734     30.756    0.010000
236     0.005712658     0.009179294     286.745     148.092    322.795     30.059    0.020000
237     0.008078104     0.010917864     275.022     146.328    320.718     30.389    0.020000
238     0.006308580     0.010461340     278.150     147.332    326.047     30.854    0.020000
239     0.006969299     0.009594402     268.975     143.940    321.728     30.469    0.020000
240     0.005287295     0.010617184     287.675     148.023    324.131     30.602    0.020000
241     0.009112374     0.009213638     281.408     147.503    323.585     30.846    0.010000
242     0.007245539     0.009150289     279.768     147.298    322.656     30.467    0.030000
243     0.006529101     0.010252119     280.669     147.524    321.753     30.138    0.020000
244     0.007019612     0.011524634     318.087     30.406    276.066     146.363    0.020000
245     0.006482481     0.011119086     279.125     146.356    318.914     30.086    0.010000
246     0.007056630     0.010448914     269.064     143.639    319.292     30.699    0.020000
247     0.005449977     0.010691819     315.178     30.001    269.223     143.495    0.020000
248     0.005735090     0.011956288     317.071     30.757    269.658     143.948    0.020000
249     0.006129667     0.008455869     316.380     30.280    270.081     143.593    0.020000
250     0.005710845     0.011428555     315.071     30.193    269.382     143.879    0.020000
251     0.005811565     0.011438876     314.753     30.357    273.211     144.589    0.020000
252     0.006265705     0.009804901     313.453     30.181    285.649     147.971    0.020000
253     0.008197885     0.008869452     315.003     30.840    265.808     142.455    0.020000
